Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: A Sequest HT,Score Sequest HT: B Sequest HT,Score Sequest HT: C Sequest HT,Score Sequest HT: D Sequest HT,Score Sequest HT: E Sequest HT,Score Sequest HT: F Sequest HT,Score Sequest HT: G Sequest HT,Score Sequest HT: H Sequest HT,Score Sequest HT: I Sequest HT,Score Sequest HT: J Sequest HT,Score Sequest HT: K Sequest HT,Score Sequest HT: L Sequest HT,# PSMs (by Search Engine): A Sequest HT,# PSMs (by Search Engine): B Sequest HT,# PSMs (by Search Engine): C Sequest HT,# PSMs (by Search Engine): D Sequest HT,# PSMs (by Search Engine): E Sequest HT,# PSMs (by Search Engine): F Sequest HT,# PSMs (by Search Engine): G Sequest HT,# PSMs (by Search Engine): H Sequest HT,# PSMs (by Search Engine): I Sequest HT,# PSMs (by Search Engine): J Sequest HT,# PSMs (by Search Engine): K Sequest HT,# PSMs (by Search Engine): L Sequest HT,# Peptides (by Search Engine): A Sequest HT,# Peptides (by Search Engine): B Sequest HT,# Peptides (by Search Engine): C Sequest HT,# Peptides (by Search Engine): D Sequest HT,# Peptides (by Search Engine): E Sequest HT,# Peptides (by Search Engine): F Sequest HT,# Peptides (by Search Engine): G Sequest HT,# Peptides (by Search Engine): H Sequest HT,# Peptides (by Search Engine): I Sequest HT,# Peptides (by Search Engine): J Sequest HT,# Peptides (by Search Engine): K Sequest HT,# Peptides (by Search Engine): L Sequest HT,# Protein Pathway Groups,# Razor Peptides,Abundances (Normalized): F1: Sample,Abundances (Normalized): F2: Sample,Abundances (Normalized): F3: Sample,Abundances (Normalized): F4: Sample,Abundances (Normalized): F5: Sample,Abundances (Normalized): F6: Sample,Abundances (Normalized): F7: Sample,Abundances (Normalized): F8: Sample,Abundances (Normalized): F9: Sample,Abundances (Normalized): F10: Sample,Abundances (Normalized): F11: Sample,Abundances (Normalized): F12: Sample,Abundance: F1: Sample,Abundance: F2: Sample,Abundance: F3: Sample,Abundance: F4: Sample,Abundance: F5: Sample,Abundance: F6: Sample,Abundance: F7: Sample,Abundance: F8: Sample,Abundance: F9: Sample,Abundance: F10: Sample,Abundance: F11: Sample,Abundance: F12: Sample,Abundances Count: F1: Sample,Abundances Count: F2: Sample,Abundances Count: F3: Sample,Abundances Count: F4: Sample,Abundances Count: F5: Sample,Abundances Count: F6: Sample,Abundances Count: F7: Sample,Abundances Count: F8: Sample,Abundances Count: F9: Sample,Abundances Count: F10: Sample,Abundances Count: F11: Sample,Abundances Count: F12: Sample,Found in Sample: [S1] F1: Sample,Found in Sample: [S2] F2: Sample,Found in Sample: [S3] F3: Sample,Found in Sample: [S4] F4: Sample,Found in Sample: [S5] F5: Sample,Found in Sample: [S6] F6: Sample,Found in Sample: [S7] F7: Sample,Found in Sample: [S8] F8: Sample,Found in Sample: [S9] F9: Sample,Found in Sample: [S10] F10: Sample,Found in Sample: [S11] F11: Sample,Found in Sample: [S12] F12: Sample,# Protein Groups,Modifications,,,,,,,,,,,,
FALSE,High,Master Protein,G3V6P7,"Myosin, heavy polypeptide 9, non-muscle OS=Rattus norvegicus OX=10116 GN=Myh9 PE=1 SV=1",0,496.147,37,58,441,49,1960,226.3,5.66,110.98,77.9,211.36,325.23,49.07,127.72,88.49,83.88,92.44,134.6,105.88,113.12,34,24,58,87,17,37,27,26,28,40,29,34,28,15,36,48,13,24,24,23,25,34,24,28,0,10,283398823.8,258382778.4,339879012.6,439686225.1,294838448,263249329.7,215911224.4,267342778.1,262349068.5,324851331,221299272.3,342273551.2,201318432.3,125576150.1,249586958.8,439686225.1,112148930.2,173590515.8,155857052.8,162955871.6,158643815.1,224273627.8,198331898.7,231560509.2,60,52,66,75,55,62,55,52,55,64,63,65,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,F1MAN8,Laminin subunit alpha 5 OS=Rattus norvegicus OX=10116 GN=Lama5 PE=1 SV=2,0,418.044,24,59,410,59,3713,403.5,6.68,37.74,20.34,74.28,113.7,21.25,20.87,187.99,198.36,172.12,197.12,189.1,272.73,10,6,19,31,7,6,52,57,48,51,48,75,10,5,19,27,5,6,38,39,34,37,33,47,0,0,101738002.4,117726486,153801521.1,195412633.2,176234396,131701653.3,356819738.5,469896711.6,353566005.9,382282720.2,290556649,531555795.2,72271771.91,57216038.04,112942701.6,195412633.2,67035012.23,86846025.23,257572865.8,286420410.3,213803160.8,263923599.2,260401452.3,359616833.2,31,25,48,50,31,34,60,65,57,50,55,64,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P11442,Clathrin heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Cltc PE=1 SV=3,0,392.411,40,47,295,47,1675,191.5,5.72,86.01,82.8,278.71,310.59,72.7,199.88,2.39,7.44,2.47,6.03,18.25,28.74,25,27,69,77,22,57,1,2,1,2,4,8,20,14,30,41,13,30,1,2,1,2,4,8,0,0,256537234.1,258707683.6,400470037.5,434645403.3,202367422,283846540.6,47692496.66,44386893.07,55044604.52,38655206.62,35517874.66,92476218.59,182236726,125734056.7,294081408.5,434645403.3,76975340.34,187172622.4,34427167.88,27055546.06,33285752.12,26687110.67,31831679.55,62563526.13,39,37,47,52,34,46,20,21,24,23,24,28,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,G3V6X1,Fibulin 2 OS=Rattus norvegicus OX=10116 GN=Fbln2 PE=1 SV=1,0,342.874,45,31,336,31,1221,131.2,4.69,69.99,50.03,94.34,85.8,23.17,44.55,151.81,125.22,156.96,161.14,220.72,186.93,19,14,22,20,8,12,36,30,38,38,52,47,16,13,17,16,8,11,21,18,22,19,24,24,0,0,80811494.58,52062671.46,102770794.5,104087737.6,50173304.21,58662654.7,331900106,221637275.7,411367938.6,378800009.5,356627211.9,396925764.9,57406178.28,25302885.47,75468767.16,104087737.6,19084628.98,38683025.32,239584451.8,135096581.6,248756283.2,261519175.8,319614932.9,268534719.9,21,23,23,26,24,19,32,28,34,36,34,38,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,A0A140TAE0,Major vault protein OS=Rattus norvegicus OX=10116 GN=Mvp PE=1 SV=1,0,340.009,56,36,508,1,871,96.8,5.63,237.13,89.27,388.82,387.74,230.82,239.25,37.8,27.35,27.51,6.07,10.9,20.85,70,28,110,106,78,76,12,8,9,2,3,6,24,16,27,33,27,26,10,6,7,2,3,6,0,51,691034710.2,370214461,1109245814,898280229.6,715711051,684363049.7,99193476.56,122734984.2,128501477.4,81142324.32,54677074.55,136392936.7,490891326.5,179927265.4,814564239,898280229.6,272237997.5,451279153.9,71603516.47,74811769.59,77705496.47,56019728.73,49002456.72,92274783.59,43,42,44,48,43,45,28,33,29,32,29,30,Peak Found,Peak Found,High,High,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,,,,,,,,,,,,,
FALSE,High,Master Protein,Q62667,Major vault protein OS=Rattus norvegicus OX=10116 GN=Mvp PE=1 SV=4,0,334.321,57,36,505,1,861,95.7,5.58,239.56,89.27,385.25,378.45,229.9,239.25,37.8,27.35,27.51,6.07,10.9,20.85,71,28,109,103,78,76,12,8,9,2,3,6,25,16,27,32,27,26,10,6,7,2,3,6,0,0,3093413.68,1802443.595,2801066.86,2437804.5,6195674.368,3924913.159,,,,,,,2197472.75,876002.375,2056937.125,2437804.5,2356674.5,2588146,,,,,,,1,1,1,1,1,1,,,,,,,High,Peak Found,High,Peak Found,High,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,F1MAA7,Laminin subunit gamma 1 OS=Rattus norvegicus OX=10116 GN=Lamc1 PE=1 SV=1,0,332.057,35,37,266,37,1607,177.3,5.22,15.31,11.46,84.7,94.31,6.23,8.11,129.62,132.99,137.72,124.42,132.16,197,4,4,21,22,2,2,34,32,36,29,31,49,4,4,15,16,2,2,24,26,26,20,21,30,0,0,35478541.68,41113291.36,111067829.5,116173606.8,57787345.74,43831540.28,246667212.2,341796835.2,229794314.5,251998767.5,199050894.1,365677045.5,25202942.97,19981396.91,81561616.78,116173606.8,21980813.72,28903168.31,178058481.3,208338529.2,138957789.9,173977054.7,178392551.3,247393824.5,12,21,28,30,17,21,33,34,37,33,37,35,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,M0R979,Thrombospondin 1 OS=Rattus norvegicus OX=10116 GN=Thbs1 PE=1 SV=2,0,324.984,46,36,361,36,1144,127,5.03,27.18,19,72.46,79.88,12.06,18.44,198.88,241.65,169.27,190.52,185.46,210.02,9,6,17,19,4,6,52,63,43,47,44,51,6,6,13,12,4,5,27,33,24,27,27,30,0,0,53479076.37,39693777.31,119541488.4,127036769.3,33852175.69,45660621.31,438872232.7,618459230.2,360205115.5,541100704.3,318372443,532939353,37990008.83,19291501.43,87784168.59,127036769.3,12876493.26,30109291.5,316803042.2,376975071.5,217817864.1,373569711.3,285330405.6,360552860.4,24,25,22,28,21,25,39,44,41,43,36,41,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P12785,Fatty acid synthase OS=Rattus norvegicus OX=10116 GN=Fasn PE=1 SV=3,0,292.128,24,42,177,42,2505,272.5,6.39,89.27,21.23,106.71,142.1,78.08,154.18,5.76,6.45,,5.13,7.16,14.55,26,6,28,36,24,44,3,2,,2,2,4,19,6,26,27,17,30,3,2,,2,2,4,0,0,169501011.6,172248406,197989596.2,207103164.1,220405317.2,218138377.1,140316306.1,175891513.6,95395466.87,94197963.88,75815851.6,88258808.28,120408678.8,83714138.5,145391799.3,207103164.1,83836489.77,143843684,101288323.4,107212751.8,57686123.66,65033192.33,67947362.17,59710294.63,39,34,40,41,38,42,17,16,18,17,21,21,High,High,High,High,High,High,High,High,Peak Found,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,Q9QXQ0,Alpha-actinin-4 OS=Rattus norvegicus OX=10116 GN=Actn4 PE=1 SV=2,0,289.919,56,37,372,24,911,104.8,5.44,183.74,82.49,85.64,127.14,232.75,343.12,9.13,8.34,12.13,20.07,22.22,15.29,58,30,25,35,83,111,4,3,4,7,7,5,23,16,17,22,25,28,4,3,4,6,7,5,0,16,532350573.4,282310308.7,240188738.3,264280814.9,477413130.8,553812807.2,87170190.26,139510080,84458827.7,83172423.06,154699081.9,143448521.6,378166646.8,137205126.2,176380342.7,264280814.9,181595623.8,365192386.1,62924421.75,85036846.14,51072682.38,57421285.59,138643757.5,97048143.44,41,41,39,43,44,47,32,24,27,27,32,36,High,High,High,High,High,High,High,High,High,High,High,High,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,P60711,"Actin, cytoplasmic 1 OS=Rattus norvegicus OX=10116 GN=Actb PE=1 SV=1",0,288.117,71,17,1158,1,375,41.7,5.48,471.01,295.04,296.6,285.6,545.34,672.21,261.96,245.28,208.31,237.69,302.97,291.04,133,85,76,70,188,201,72,66,60,59,71,77,14,12,12,16,13,12,11,11,12,14,13,14,0,31,2369121365,1302302350,1283348344,1132142051,2712463108,3128457824,946060292.7,995769622.8,783702251.7,1102493256,899225624.3,1203458782,1682956170,632929626.6,942414796,1132142051,1031750905,2062951529,682920350.2,606960502,473908734.8,761148681.1,805900189.4,814183647.3,27,24,26,28,28,30,28,27,24,30,30,28,Peak Found,Not Found,Not Found,High,High,High,High,Peak Found,High,High,Peak Found,Peak Found,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,A0A0G2K695,Myoferlin OS=Rattus norvegicus OX=10116 GN=Myof PE=1 SV=1,0,284.064,33,53,233,53,2061,234.5,6.09,34.16,23.7,149.54,146.78,34.66,42.23,54.36,43.87,85.56,68.28,25.9,69.89,11,8,43,43,13,13,17,12,24,21,9,19,11,7,34,34,10,12,16,11,20,18,8,18,0,0,271418289.6,419144470.9,466449666.6,336272128.1,291580590.3,312289004.4,330760153,253616445.8,365540183.6,324549044.2,420093821.9,270281647.3,192807802.9,203707651.6,342532929.1,336272128.1,110909725.3,205928005.2,238761568.6,154589135.6,221044006.9,224064932.5,376494710,182855367.1,39,41,54,52,33,42,46,41,43,44,27,42,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P63259,"Actin, cytoplasmic 2 OS=Rattus norvegicus OX=10116 GN=Actg1 PE=1 SV=1",0,283.532,71,17,1153,1,375,41.8,5.48,471.01,295.04,296.6,285.15,541.2,667.83,257.52,245.28,203.7,233.26,302.97,291.04,133,85,76,70,187,200,71,66,59,58,71,77,14,12,12,16,12,11,10,11,11,13,13,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,P70490,Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=2 SV=1,0,278.368,60,20,2037,20,427,47.4,7.09,239.64,212.92,952.88,801.99,260.59,223.12,714.14,1058.91,783.82,666.64,267.41,1044.2,65,60,258,210,77,62,217,308,233,180,72,295,16,14,18,20,14,13,18,19,19,18,17,20,0,0,975874964.3,1021795315,4946238111,4635640392,1198726043,909927539.7,3094448564,3954394713,3675979863,4465271437,1251481614,4501182020,693233709.8,496600906.2,3632223473,4635640392,455964424.7,600019727,2233749702,2410358124,2222883706,3082772113,1121597564,3045213388,32,32,39,37,34,32,38,40,39,38,37,38,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P34058,Heat shock protein HSP 90-beta OS=Rattus norvegicus OX=10116 GN=Hsp90ab1 PE=1 SV=4,0,265.455,47,28,600,18,724,83.2,5.03,189.27,90.75,388.63,609.85,161.43,328.32,41.05,28.62,28.23,44.87,45.04,58.26,58,32,117,160,55,101,15,9,9,12,14,18,25,14,24,26,21,23,13,8,8,11,12,16,0,1,368990851.6,169031614.4,714426844.7,1106850527,364185591.2,489377397.7,81144638.12,84888334.73,63566968.74,86222912.95,84267801.97,108336415.3,262120564.9,82150751.39,524632639.4,1106850527,138526792.3,322702720.6,58574834.09,51742757.64,38439269.08,59527308.77,75522133.42,73293526.18,20,17,19,23,22,23,16,16,14,16,17,17,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,Q6QD51,Coiled-coil domain-containing protein 80 OS=Rattus norvegicus OX=10116 GN=Ccdc80 PE=1 SV=1,0,262.198,32,24,237,24,949,107.6,9.63,44.16,11.8,205.28,362.02,63.67,86.98,21.49,31.55,39.85,74.11,20.81,20.26,13,3,47,86,17,22,4,7,9,18,5,6,10,3,16,23,8,11,4,7,7,9,5,6,0,0,77001909.14,42170361,370674399,857514819.2,118968038.1,111531944.8,66990758.36,72448878.4,58781281.06,123222299.8,71501335.55,58094737.66,54699957.56,20495141.42,272201261.3,857514819.2,45252368.83,73545820.02,48357755.33,44160422.84,35545339.41,85071260.49,64080624.83,39303203.49,19,16,26,33,20,23,22,19,22,20,17,17,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P47853,Biglycan OS=Rattus norvegicus OX=10116 GN=Bgn PE=1 SV=1,0,251.778,49,13,469,13,369,41.7,7.52,73.34,24.47,94.73,125.19,12.69,21.3,326.69,215.38,196.08,240.62,379.37,234.6,20,7,23,29,7,9,78,55,49,54,84,54,9,5,8,10,4,5,11,13,9,10,12,11,0,0,217484743.7,145604427,239747696.1,307703092,118003447.2,104668584.1,893379604.6,660133421,465526333.7,583118978.4,692639255,541413674.4,154494951.9,70764946.11,176056467.6,307703092,44885463.38,69020018.07,644892420.9,402377119.6,281506140,402578645.1,620754226.4,366286047.2,17,13,20,25,14,14,23,20,20,23,23,22,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
