Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: A Sequest HT,Score Sequest HT: B Sequest HT,Score Sequest HT: C Sequest HT,Score Sequest HT: D Sequest HT,Score Sequest HT: E Sequest HT,Score Sequest HT: F Sequest HT,Score Sequest HT: G Sequest HT,Score Sequest HT: H Sequest HT,Score Sequest HT: I Sequest HT,Score Sequest HT: J Sequest HT,Score Sequest HT: K Sequest HT,Score Sequest HT: L Sequest HT,# PSMs (by Search Engine): A Sequest HT,# PSMs (by Search Engine): B Sequest HT,# PSMs (by Search Engine): C Sequest HT,# PSMs (by Search Engine): D Sequest HT,# PSMs (by Search Engine): E Sequest HT,# PSMs (by Search Engine): F Sequest HT,# PSMs (by Search Engine): G Sequest HT,# PSMs (by Search Engine): H Sequest HT,# PSMs (by Search Engine): I Sequest HT,# PSMs (by Search Engine): J Sequest HT,# PSMs (by Search Engine): K Sequest HT,# PSMs (by Search Engine): L Sequest HT,# Peptides (by Search Engine): A Sequest HT,# Peptides (by Search Engine): B Sequest HT,# Peptides (by Search Engine): C Sequest HT,# Peptides (by Search Engine): D Sequest HT,# Peptides (by Search Engine): E Sequest HT,# Peptides (by Search Engine): F Sequest HT,# Peptides (by Search Engine): G Sequest HT,# Peptides (by Search Engine): H Sequest HT,# Peptides (by Search Engine): I Sequest HT,# Peptides (by Search Engine): J Sequest HT,# Peptides (by Search Engine): K Sequest HT,# Peptides (by Search Engine): L Sequest HT,# Protein Pathway Groups,# Razor Peptides,Abundances (Normalized): F1: Sample,Abundances (Normalized): F2: Sample,Abundances (Normalized): F3: Sample,Abundances (Normalized): F4: Sample,Abundances (Normalized): F5: Sample,Abundances (Normalized): F6: Sample,Abundances (Normalized): F7: Sample,Abundances (Normalized): F8: Sample,Abundances (Normalized): F9: Sample,Abundances (Normalized): F10: Sample,Abundances (Normalized): F11: Sample,Abundances (Normalized): F12: Sample,Abundance: F1: Sample,Abundance: F2: Sample,Abundance: F3: Sample,Abundance: F4: Sample,Abundance: F5: Sample,Abundance: F6: Sample,Abundance: F7: Sample,Abundance: F8: Sample,Abundance: F9: Sample,Abundance: F10: Sample,Abundance: F11: Sample,Abundance: F12: Sample,Abundances Count: F1: Sample,Abundances Count: F2: Sample,Abundances Count: F3: Sample,Abundances Count: F4: Sample,Abundances Count: F5: Sample,Abundances Count: F6: Sample,Abundances Count: F7: Sample,Abundances Count: F8: Sample,Abundances Count: F9: Sample,Abundances Count: F10: Sample,Abundances Count: F11: Sample,Abundances Count: F12: Sample,Found in Sample: [S1] F1: Sample,Found in Sample: [S2] F2: Sample,Found in Sample: [S3] F3: Sample,Found in Sample: [S4] F4: Sample,Found in Sample: [S5] F5: Sample,Found in Sample: [S6] F6: Sample,Found in Sample: [S7] F7: Sample,Found in Sample: [S8] F8: Sample,Found in Sample: [S9] F9: Sample,Found in Sample: [S10] F10: Sample,Found in Sample: [S11] F11: Sample,Found in Sample: [S12] F12: Sample,# Protein Groups,Modifications,,,,,,,,,,,,
FALSE,High,Master Protein,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",0,408.919,71,37,1052,26,639,65.4,8,525.02,303.94,372.64,486.75,640.86,368.63,188.52,189.23,146.42,119.81,298.58,111.6,145,85,96,130,201,110,47,51,38,34,82,33,29,24,22,25,33,29,22,19,19,21,23,17,0,9,3582767038,2479907525,1771948678,2453542278,4938294840,3724747197,1152308121,1072299109,961079590.3,754245721.3,1637971708,679228402.1,1642688376,1217269773,1244480960,1817440637,4938294840,1420667264,813480116.2,689630322.6,471904414.9,538885666,1067518423,430909316.2,51,49,50,51,50,52,45,41,34,42,44,39,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,A0A1B0GVI3,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=2",0,355.031,54,27,1063,22,624,63.3,5.26,466.58,352,335.72,519.83,592.61,511.96,238.63,200.17,200.46,150.71,228.23,158.43,126,90,82,144,170,154,60,53,47,40,58,39,25,23,24,27,27,26,21,22,19,22,23,22,0,4,5405116307,3702254319,2996517864,3926970948,4580629823,5868742273,2484229045,2384623571,2068706054,1347653361,2330135816,1675673070,2478230271,1817262228,2104524512,2908870430,4580629823,2238415008,1753759168,1533628733,1015765531,962857406.7,1518623856,1063063816,37,34,34,35,38,35,35,31,34,36,37,33,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P08779,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",0,342.572,73,36,1127,22,473,51.2,5.05,141.23,160.53,143.4,154.07,2325.98,180.42,80.54,84.64,84.63,120.2,439.12,118.24,42,44,41,50,626,61,22,26,25,35,122,33,18,16,18,20,36,21,13,15,17,21,22,18,0,17,3043852836,2784613371,1654417709,1826101106,21219295933,3519410988,2069048918,2040087327,1406172567,2252270536,5583439816,2107919770,1395597765,1366835518,1161936214,1352668910,21219295933,1342349350,1460659804,1312046303,690451705.8,1609178911,3638905872,1337285461,44,40,43,42,56,45,41,40,35,42,50,40,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",0,340.282,61,41,2624,33,644,66,8.12,1027.6,628.49,639.56,1881.41,2422.29,989.68,419.37,280.28,457.67,292.08,734.31,376.32,267,160,164,478,588,282,118,79,119,79,187,103,26,24,24,30,37,27,28,24,22,22,31,25,0,9,17467941411,12313784676,9518548199,23385631024,31865916033,18294360355,8379102030,8048799233,11129767067,6605818535,14093922847,8906296718,8009000864,6044256783,6685098810,17322707877,31865916033,6977708149,5915286689,5176443743,5464881648,4719656765,9185459197,5650244038,49,49,48,53,58,52,46,45,41,46,52,47,High,High,High,High,High,High,High,High,High,High,High,High,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,0,315.455,31,48,212,48,2541,269.6,6.07,32.71,77.21,127.12,105.45,58.38,25.95,85.47,50.13,83.14,130.5,17.83,63.66,7,20,29,27,14,8,21,12,21,31,5,17,7,19,28,23,14,8,20,12,21,29,4,17,0,0,329925196.9,415799468.5,527136002.6,256829952.9,189503287.8,266609343,680448775.3,703076250.1,869425758.6,638530346,566507902.1,720919169.8,151269753.3,204096370.3,370219931.7,190244609.8,189503287.8,101688288,480367653.8,452171131.4,426901016.3,456210543.9,369211274.7,457358357.8,29,38,43,37,40,31,41,31,41,44,30,45,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P04259,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",0,302.055,56,35,959,3,564,60,8,225.4,163.22,213.14,235.01,1495.31,166.86,104.73,111.78,91.17,88.88,376.75,112.42,65,47,61,69,422,47,28,31,27,27,103,32,22,19,19,21,34,19,16,20,15,16,28,19,0,40,897126783.9,932995513.8,805471629.8,650384032.4,11475487880,1163451104,594219732.2,676106065.4,652344620.1,780182016.8,2819192453,709676102,411330048.5,457963543.4,565701546.2,481766456.9,11475487880,443755457.7,419493647.4,434825731.2,320310939.2,557416361.7,1837357670,450225642.7,30,32,30,35,41,32,31,30,23,32,35,35,High,High,High,Peak Found,High,High,Peak Found,High,Peak Found,Peak Found,High,High,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,P48668,"Keratin, type II cytoskeletal 6C OS=Homo sapiens OX=9606 GN=KRT6C PE=1 SV=3",0,300.831,56,34,938,1,564,60,8,212.4,153.79,196.35,198.8,1558.65,148.86,100.15,102.19,73.5,81.85,364.04,104.72,61,44,55,59,450,42,26,28,21,24,99,29,22,18,18,22,33,19,16,18,14,16,28,19,0,0,11467672.86,10912079.5,11507053.57,13233261.17,166292407.3,18632178.75,1993884.397,4010585.01,6198899.254,5275383.038,22595467.26,3305483.934,5257895,5356225.75,8081672.594,9802426,166292407.3,7106556.5,1407596.875,2579337.25,3043752,3769101,14726186.94,2097032.188,2,2,3,2,3,1,1,1,3,2,3,2,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,P02538,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",0,295.019,58,35,910,2,564,60,8,209.57,148.26,190.48,197.99,1509.2,152.06,105.12,108.44,77.66,79.04,371.99,102.19,60,42,53,58,424,41,28,30,22,23,101,28,22,17,17,22,34,20,18,20,15,15,27,18,0,5,977604187.5,782130797.6,478197212.3,488959779.3,3021702297,259258641.8,577998423.8,658269346.7,527311055.1,1122962635,1319576678,674110222.8,448228706.4,383911161.6,335849075.8,362192810.3,3021702297,98884634.53,408042099.3,423354359.2,258917593.8,802322704.9,860010223.4,427662291.9,7,7,7,7,7,7,7,7,6,7,7,7,High,High,Peak Found,High,High,High,High,High,High,Peak Found,High,Peak Found,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,Q15582,Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1,0,294.544,54,23,342,23,683,74.6,7.71,36.91,42.05,124.33,73.68,54.84,22.32,245.17,156.39,139.07,214.01,179.86,220.97,11,12,29,19,16,8,52,34,28,46,39,48,9,8,15,11,10,7,21,17,12,20,19,21,0,0,86303329.86,110295531.6,377662219.4,170441184.5,92410169.92,103377085.9,822537372.6,631340179.3,543809338.4,744301081.1,596309459.2,516854594.8,39569828.36,54138880.34,265241001.1,126252862.1,92410169.92,39429371.73,580676109.9,406035338.5,267018497,531780522.6,388633900.3,327897743,16,20,28,22,24,19,29,28,27,30,28,30,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,I3L4N8,"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=9",0,289.695,76,17,879,1,351,39,5.47,264.81,204.81,426.35,533.46,338.28,363.34,249.31,235.38,267.64,420.96,171.18,263.99,65,47,100,131,80,99,56,54,58,93,39,57,14,12,14,15,13,13,13,14,12,16,13,15,0,0,13727135.41,14458112.55,12010943.79,11671063.62,5323123.219,2223111.087,4363242.071,5304703.992,1575899.426,8941045.202,6661544.118,7190902.34,6293852.078,7096806.313,8435566.469,8645241.406,5323123.219,847923.625,3080261.781,3411627.125,773790.125,6388105.313,4341540.844,4561980.625,2,1,2,2,2,1,2,2,1,2,2,2,High,High,High,High,Peak Found,High,Peak Found,High,High,High,Peak Found,High,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",0,289.134,71,17,868,1,375,41.7,5.48,263.28,202.81,418.29,531.58,338.28,362.61,249.31,230.29,263.04,411.9,171.18,259.35,64,46,97,130,80,99,56,53,57,91,39,56,14,11,14,15,13,13,13,13,11,15,13,14,0,32,1638737429,1827114778,3780432319,3482823334,1528646649,2603315137,1570981057,1751310372,1918815176,2819946993,1091014635,1630734931,751356395,896844567.2,2655085951,2579871852,1528646649,992938419.1,1109045254,1126324481,942166873.8,2014766502,711049047.6,1034554609,22,22,29,28,26,24,27,28,22,31,24,29,High,Not Found,High,High,Peak Found,High,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,1,Met-loss+Acetyl [N-Term],,,,,,,,,,,,
FALSE,High,Master Protein,P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",0,282.075,72,35,1079,13,472,51.5,5.16,162.19,153.34,159.84,297.24,1954.13,235,82.55,100.47,110.05,93.37,388.77,100.14,50,43,48,87,526,82,23,30,30,26,106,28,22,17,19,23,34,23,11,15,15,17,23,17,0,12,896990513.5,868714530.6,564151706.3,814817791.2,5882783629,1185399849,524516385.7,495112936.3,413458710.2,433519567.2,1526287128,526782037.8,411267568.9,426411037.1,396216925.3,603569369.4,5882783629,452126995.6,370286074,318423181.8,203014394.1,309736567.5,994730018.7,334195812.5,29,32,30,33,41,30,29,26,26,29,34,28,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,0,274.911,34,38,786,38,1663,187,6.4,179.21,219.25,309.08,201.34,164.81,120.56,284.19,228.99,260.95,284.64,241.25,239.57,50,57,85,57,47,40,87,70,73,82,70,68,15,13,28,17,11,7,29,20,24,29,22,24,0,0,1566660726,2057397465,2142531569,1203959647,925076805,1833509332,2102452137,2039981956,2884028362,2315183518,1683411958,2022518514,718309433.8,1009879490,1504749983,891822899.3,925076805,699324423.3,1484241044,1311978536,1416100946,1654128326,1097133283,1283106047,34,34,43,34,35,28,45,41,37,44,39,38,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,A0A087WVQ6,Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1,0,260.17,33,38,163,38,1679,191.9,5.69,19.27,17.53,116.94,147.15,49.88,16.14,40.82,8.41,61.22,122.46,2.42,26.26,5,5,31,38,13,4,11,3,15,29,1,8,5,5,25,25,13,4,11,3,14,25,1,8,0,0,100879672.4,131628679.7,288587945.7,266098419.9,59611357.58,107755783.9,154725252.3,107122054.3,207122498.8,207619061,38428829.83,134549169,46253039.45,64610317.69,202682057.4,197110148.1,59611357.58,41099464.36,109229392.6,68893666.22,101700236.5,148337515,25045294.5,85359343.38,25,23,35,37,28,24,33,24,30,37,10,30,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P12109,Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3,0,260.05,41,25,400,25,1028,108.5,5.43,84.56,92.44,166.81,163.19,79.14,69.1,182.22,118.63,218.85,192.74,94.47,153.9,21,25,41,41,20,21,45,28,49,48,24,37,14,17,18,17,15,14,20,15,18,22,17,19,0,0,646591270.9,1086099900,1560720323,864064336.1,466426261.8,704362718.6,2138171201,2130680008,2609902334,2524648100,2126239801,2196558567,296460236.8,533115273.7,1096130351,640048329.9,466426261.8,268653147,1509457171,1370309393,1281500977,1803784410,1385738318,1393518804,25,24,29,30,27,25,28,27,28,31,29,27,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,Q15063,Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=2,0,243.273,53,30,313,3,836,93.3,7.53,136.2,170.19,110,86.25,121.24,82.09,86.08,74.51,66.49,79.09,72.72,106.56,34,44,29,23,32,22,23,20,17,21,21,27,21,23,17,15,21,15,15,15,12,17,17,18,0,36,522601611.4,726268117.5,372102021.6,219597088.3,300983385,417246736.9,455510797.9,411469204.7,429819400.7,396547049.3,385871964.9,451763548.2,239611334.8,356490803.7,261335944.3,162664681,300983385,159143358.9,321571088.4,264629186.1,211047737.2,283320826,251485071,286603329.7,30,33,30,29,34,31,35,35,27,33,34,35,High,High,High,Not Found,High,High,High,High,Not Found,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,Q92626,Peroxidasin homolog OS=Homo sapiens OX=9606 GN=PXDN PE=1 SV=2,0,241.352,39,36,199,36,1479,165.2,7.17,26.83,28.24,60.06,22.07,31.9,19.08,132.14,61.26,110.7,117.11,90.24,97.33,7,6,16,6,8,5,34,17,26,27,23,24,7,6,15,6,7,5,29,16,22,23,17,22,0,0,72039553.3,66752380.17,102838755.6,54981778.6,56423638.41,127551961.2,248087794.6,165653746.6,340260444.8,369402250.9,130999236.5,202297723.7,33029927.86,32765598.66,72226061,40727286.27,56423638.41,48649985.14,175139343.6,106537295.3,167072953.9,263926691.8,85376382.09,128339706.6,19,17,26,21,24,20,29,27,30,35,31,32,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
